BE/eV	PE: 1486.61 eV
746.8599999999999	7021.3
745.8599999999999	6978.2
744.8599999999999	6894.21
743.8599999999999	7028.59
742.8599999999999	7029.26
741.8599999999999	7108.02
740.8599999999999	6990.31
739.8599999999999	7062.55
738.8599999999999	7011.9
737.8599999999999	7069.01
736.8599999999999	7131.52
735.8599999999999	7069.61
734.8599999999999	7130.96
733.8599999999999	7102.91
732.8599999999999	7228.28
731.8599999999999	7367.49
730.8599999999999	7351.17
729.8599999999999	7152.34
728.8599999999999	7195.77
727.8599999999999	7319.71
726.8599999999999	7303.06
725.8599999999999	7228.26
724.8599999999999	7297.62
723.8599999999999	7343.52
722.8599999999999	7288.88
721.8599999999999	7424.68
720.8599999999999	7369.32
719.8599999999999	7345.53
718.8599999999999	7227.52
717.8599999999999	7286.61
716.8599999999999	7472.45
715.8599999999999	7466.72
714.8599999999999	7503.56
713.8599999999999	7553.85
712.8599999999999	7353.92
711.8599999999999	7405.42
710.8599999999999	7599.87
709.8599999999999	7617.88
708.8599999999999	7422.67
707.8599999999999	7448.63
706.8599999999999	7282.62
705.8599999999999	7481.43
704.8599999999999	7499.64
703.8599999999999	7482.26
702.8599999999999	7576.93
701.8599999999999	7562.85
700.8599999999999	7604.65
699.8599999999999	7608.92
698.8599999999999	7468.48
697.8599999999999	7683.02
696.8599999999999	7640.36
695.8599999999999	7755.58
694.8599999999999	7700.11
693.8599999999999	7787.86
692.8599999999999	7837.62
691.8599999999999	7960.96
690.8599999999999	7785.21
689.8599999999999	7669.06
688.8599999999999	7717.56
687.8599999999999	7687.76
686.8599999999999	7852.38
685.8599999999999	7686.69
684.8599999999999	7728.56
683.8599999999999	7873.0
682.8599999999999	7724.91
681.8599999999999	7799.51
680.8599999999999	7866.23
679.8599999999999	7850.75
678.8599999999999	7784.93
677.8599999999999	7983.19
676.8599999999999	7967.9
675.8599999999999	8013.84
674.8599999999999	8151.16
673.8599999999999	7941.31
672.8599999999999	7988.88
671.8599999999999	7996.66
670.8599999999999	7867.42
669.8599999999999	7992.9
668.8599999999999	8002.27
667.8599999999999	8088.11
666.8599999999999	7953.86
665.8599999999999	7975.12
664.8599999999999	7961.43
663.8599999999999	7937.31
662.8599999999999	8013.43
661.8599999999999	7960.74
660.8599999999999	8159.18
659.8599999999999	8039.12
658.8599999999999	7987.56
657.8599999999999	7965.28
656.8599999999999	8113.71
655.8599999999999	8146.1
654.8599999999999	8311.18
653.8599999999999	8381.49
652.8599999999999	8193.6
651.8599999999999	8243.61
650.8599999999999	8350.19
649.8599999999999	8316.14
648.8599999999999	8166.1
647.8599999999999	8335.5
646.8599999999999	8295.66
645.8599999999999	8211.51
644.8599999999999	8217.04
643.8599999999999	8142.41
642.8599999999999	8231.32
641.8599999999999	8204.86
640.8599999999999	8307.22
639.8599999999999	8210.48
638.8599999999999	8337.38
637.8599999999999	8317.2
636.8599999999999	8480.55
635.8599999999999	8400.62
634.8599999999999	8415.2
633.8599999999999	8394.67
632.8599999999999	8561.58
631.8599999999999	8587.75
630.8599999999999	8274.71
629.8599999999999	8463.51
628.8599999999999	8502.83
627.8599999999999	8449.78
626.8599999999999	8478.97
625.8599999999999	8613.94
624.8599999999999	8555.21
623.8599999999999	8591.55
622.8599999999999	8679.06
621.8599999999999	8717.91
620.8599999999999	8663.63
619.8599999999999	8722.89
618.8599999999999	8716.77
617.8599999999999	8577.78
616.8599999999999	8629.73
615.8599999999999	8702.13
614.8599999999999	8768.8
613.8599999999999	8758.0
612.8599999999999	8770.86
611.8599999999999	8865.94
610.8599999999999	8969.02
609.8599999999999	8878.22
608.8599999999999	8824.03
607.8599999999999	8745.73
606.8599999999999	8821.14
605.8599999999999	8918.48
604.8599999999999	8777.06
603.8599999999999	8943.61
602.8599999999999	8948.5
601.8599999999999	8837.38
600.8599999999999	8888.36
599.8599999999999	8982.06
598.8599999999999	9012.92
597.8599999999999	8997.85
596.8599999999999	9098.02
595.8599999999999	9018.64
594.8599999999999	8918.84
593.8599999999999	9075.89
592.8599999999999	9105.21
591.8599999999999	9261.77
590.8599999999999	9250.73
589.8599999999999	9138.44
588.8599999999999	9206.52
587.8599999999999	9246.02
586.8599999999999	9337.96
585.8599999999999	9460.29
584.8599999999999	9396.67
583.8599999999999	9436.16
582.8599999999999	9383.89
581.8599999999999	9381.72
580.8599999999999	9310.58
579.8599999999999	9403.96
578.8599999999999	9438.41
577.8599999999999	9329.45
576.8599999999999	9235.39
575.8599999999999	9319.8
574.8599999999999	9564.12
573.8599999999999	9663.81
572.8599999999999	9445.21
571.8599999999999	9674.8
570.8599999999999	9579.09
569.8599999999999	9569.86
568.8599999999999	9610.28
567.8599999999999	9723.24
566.8599999999999	9731.7
565.8599999999999	9707.69
564.8599999999999	9730.26
563.8599999999999	9862.8
562.8599999999999	9757.33
561.8599999999999	9810.38
560.8599999999999	9799.22
559.8599999999999	9895.04
558.8599999999999	10026.7
557.8599999999999	9843.43
556.8599999999999	9896.21
555.8599999999999	10006.3
554.8599999999999	9880.82
553.8599999999999	10023.5
552.8599999999999	10171.9
551.8599999999999	10041.8
550.8599999999999	9976.22
549.8599999999999	10199.6
548.8599999999999	10135.9
547.8599999999999	10197.5
546.8599999999999	10298.0
545.8599999999999	10130.5
544.8599999999999	10094.4
543.8599999999999	9991.83
542.8599999999999	10122.6
541.8599999999999	10104.4
540.8599999999999	10095.2
539.8599999999999	10108.9
538.8599999999999	10269.1
537.8599999999999	10404.2
536.8599999999999	10456.8
535.8599999999999	10406.7
534.8599999999999	10511.6
533.8599999999999	10601.0
532.8599999999999	10730.4
531.8599999999999	10735.5
530.8599999999999	10853.3
529.8599999999999	10694.1
528.8599999999999	10856.8
527.8599999999999	10957.7
526.8599999999999	10915.3
525.8599999999999	10665.4
524.8599999999999	10578.0
523.8599999999999	10598.9
522.8599999999999	10352.4
521.8599999999999	10342.1
520.8599999999999	10365.3
519.8599999999999	10731.3
518.8599999999999	10764.6
517.8599999999999	10651.5
516.8599999999999	10649.0
515.8599999999999	10925.0
514.8599999999999	10773.5
513.8599999999999	10863.1
512.8599999999999	10812.3
511.8599999999999	10757.3
510.8599999999999	10813.3
509.8599999999999	10726.6
508.8599999999999	10839.6
507.8599999999999	10658.8
506.8599999999999	10620.3
505.8599999999999	10778.1
504.8599999999999	10836.2
503.8599999999999	10800.5
502.8599999999999	10919.4
501.8599999999999	10902.4
500.8599999999999	11092.9
499.8599999999999	11150.6
498.8599999999999	11115.2
497.8599999999999	10959.5
496.8599999999999	10991.5
495.8599999999999	11064.4
494.8599999999999	11032.2
493.8599999999999	11167.8
492.8599999999999	11238.0
491.8599999999999	11029.6
490.8599999999999	10884.1
489.8599999999999	10972.9
488.8599999999999	11102.7
487.8599999999999	11297.1
486.8599999999999	11336.1
485.8599999999999	11250.4
484.8599999999999	11129.4
483.8599999999999	11196.2
482.8599999999999	11299.9
481.8599999999999	11331.8
480.8599999999999	11404.1
479.8599999999999	11328.2
478.8599999999999	11488.8
477.8599999999999	11454.3
476.8599999999999	11654.6
475.8599999999999	11535.9
474.8599999999999	11495.3
473.8599999999999	11525.7
472.8599999999999	11664.9
471.8599999999999	11564.4
470.8599999999999	11527.0
469.8599999999999	11408.0
468.8599999999999	11688.7
467.8599999999999	11634.5
466.8599999999999	11551.7
465.8599999999999	11693.6
464.8599999999999	11660.4
463.8599999999999	11707.3
462.8599999999999	11776.9
461.8599999999999	11577.0
460.8599999999999	11531.1
459.8599999999999	11415.4
458.8599999999999	11324.6
457.8599999999997	11321.5
456.8599999999997	11599.6
455.8599999999997	11567.3
454.8599999999997	11616.0
453.8599999999997	11461.9
452.8599999999997	11295.9
451.8599999999997	11053.1
450.8599999999997	10788.1
449.8599999999997	10760.4
448.8599999999997	10549.4
447.8599999999997	10493.2
446.8599999999997	10463.4
445.8599999999997	10506.0
444.8599999999997	10386.7
443.8599999999997	10279.7
442.8599999999997	10493.1
441.8599999999997	10588.6
440.8599999999997	10654.4
439.8599999999997	10606.1
438.8599999999997	10625.8
437.8599999999997	10644.3
436.8599999999997	10571.2
